latitude,longitude,month,irradiance
42.0,45.5,04,4.49
42.0,45.5,05,4.98
42.0,45.5,06,5.84
42.0,45.5,07,5.82
42.0,45.5,08,5.59
42.0,45.5,09,4.19
42.0,45.5,10,3.03
42.0,45.5,11,2.14
42.0,45.5,12,1.65
42.0,45.5,13,3.81
42.0,45.75,01,1.88
42.0,45.75,02,2.68
42.0,45.75,03,3.39
42.0,45.75,04,4.49
42.0,45.75,05,4.98
42.0,45.75,06,5.84
42.0,45.75,07,5.82
42.0,45.75,08,5.59
42.0,45.75,09,4.19
42.0,45.75,10,3.03
42.0,45.75,11,2.14
42.0,45.75,12,1.65
42.0,45.75,13,3.81
42.0,46.0,01,1.93
42.0,46.0,02,2.72
42.0,46.0,03,3.59
42.0,46.0,04,4.8
42.0,46.0,05,5.34
42.0,46.0,06,6.04
42.0,46.0,07,6.0
42.0,46.0,08,5.68
42.0,46.0,09,4.39
42.0,46.0,10,3.18
42.0,46.0,11,2.23
42.0,46.0,12,1.7
42.0,46.0,13,3.97
42.25,41.75,01,1.59
42.25,41.75,02,2.35
42.25,41.75,03,3.38
42.25,41.75,04,4.77
42.25,41.75,05,5.59
42.25,41.75,06,6.38
42.25,41.75,07,6.12
42.25,41.75,08,5.86
42.25,41.75,09,4.48
42.25,41.75,10,3.03
42.25,41.75,11,1.99
42.25,41.75,12,1.4
42.25,41.75,13,3.92
42.25,42.0,01,1.59
42.25,42.0,02,2.29
42.25,42.0,03,3.13
42.25,42.0,04,4.48
42.25,42.0,05,5.19
42.25,42.0,06,5.97
42.25,42.0,07,5.8
42.25,42.0,08,5.73
42.25,42.0,09,4.4
42.25,42.0,10,2.97
42.25,42.0,11,1.99
42.25,42.0,12,1.43
42.25,42.0,13,3.75
42.25,42.25,01,1.59
42.25,42.25,02,2.29
42.25,42.25,03,3.13
42.25,42.25,04,4.48
42.25,42.25,05,5.19
42.25,42.25,06,5.97
42.25,42.25,07,5.8
42.25,42.25,08,5.73
42.25,42.25,09,4.4
42.25,42.25,10,2.97
42.25,42.25,11,1.99
42.25,42.25,12,1.43
42.25,42.25,13,3.75
42.25,42.5,01,1.59
42.25,42.5,02,2.29
42.25,42.5,03,3.13
42.25,42.5,04,4.48
42.25,42.5,05,5.19
42.25,42.5,06,5.97
42.25,42.5,07,5.8
42.25,42.5,08,5.73
42.25,42.5,09,4.4
42.25,42.5,10,2.97
42.25,42.5,11,1.99
42.25,42.5,12,1.43
42.25,42.5,13,3.75
42.25,42.75,01,1.59
42.25,42.75,02,2.29
42.25,42.75,03,3.13
42.25,42.75,04,4.48
42.25,42.75,05,5.19
42.25,42.75,06,5.97
42.25,42.75,07,5.8
42.25,42.75,08,5.73
42.25,42.75,09,4.4
42.25,42.75,10,2.97
42.25,42.75,11,1.99
42.25,42.75,12,1.43
42.25,42.75,13,3.75
42.25,43.0,01,1.72
42.25,43.0,02,2.52
42.25,43.0,03,3.31
42.25,43.0,04,4.43
42.25,43.0,05,5.11
42.25,43.0,06,5.87
42.25,43.0,07,5.9
42.25,43.0,08,5.79
42.25,43.0,09,4.37
42.25,43.0,10,2.99
42.25,43.0,11,2.03
42.25,43.0,12,1.52
42.25,43.0,13,3.8
42.25,43.25,01,1.72
42.25,43.25,02,2.52
42.25,43.25,03,3.31
42.25,43.25,04,4.43
42.25,43.25,05,5.11
42.25,43.25,06,5.87
42.25,43.25,07,5.9
42.25,43.25,08,5.79
42.25,43.25,09,4.37
42.25,43.25,10,2.99
42.25,43.25,11,2.03
42.25,43.25,12,1.52
42.25,43.25,13,3.8
42.25,43.5,01,1.72
42.25,43.5,02,2.52
42.25,43.5,03,3.31
42.25,43.5,04,4.43
42.25,43.5,05,5.11
42.25,43.5,06,5.87
42.25,43.5,07,5.9
42.25,43.5,08,5.79
42.25,43.5,09,4.37
42.25,43.5,10,2.99
42.25,43.5,11,2.03
42.25,43.5,12,1.52
42.25,43.5,13,3.8
42.25,43.75,01,1.72
42.25,43.75,02,2.52
42.25,43.75,03,3.31
42.25,43.75,04,4.43
42.25,43.75,05,5.11
42.25,43.75,06,5.87
42.25,43.75,07,5.9
42.25,43.75,08,5.79
42.25,43.75,09,4.37
42.25,43.75,10,2.99
42.25,43.75,11,2.03
42.25,43.75,12,1.52
42.25,43.75,13,3.8
42.25,44.0,01,1.84
42.25,44.0,02,2.7
42.25,44.0,03,3.44
42.25,44.0,04,4.45
42.25,44.0,05,5.05
42.25,44.0,06,5.81
42.25,44.0,07,5.84
42.25,44.0,08,5.64
42.25,44.0,09,4.23
42.25,44.0,10,3.06
42.25,44.0,11,2.12
42.25,44.0,12,1.58
42.25,44.0,13,3.82
42.25,44.25,01,1.84
42.25,44.25,02,2.7
42.25,44.25,03,3.44
42.25,44.25,04,4.45
42.25,44.25,05,5.05
42.25,44.25,06,5.81
42.25,44.25,07,5.84
42.25,44.25,08,5.64
42.25,44.25,09,4.23
42.25,44.25,10,3.06
42.25,44.25,11,2.12
42.25,44.25,12,1.58
42.25,44.25,13,3.82
42.25,44.5,01,1.84
42.25,44.5,02,2.7
42.25,44.5,03,3.44
42.25,44.5,04,4.45
42.25,44.5,05,5.05
42.25,44.5,06,5.81
42.25,44.5,07,5.84
42.25,44.5,08,5.64
42.25,44.5,09,4.23
42.25,44.5,10,3.06
42.25,44.5,11,2.12
42.25,44.5,12,1.58
42.25,44.5,13,3.82
42.25,44.75,01,1.84
