latitude,longitude,month,ghi_monthly,dni_monthly,dif_monthly
41.5,42.0,2.0,2.3724089025559274,1.8335560277810419,1.2131471384195913
41.5,42.0,3.0,3.030508632374523,2.342179446446331,1.5496708309263958
41.5,42.0,4.0,3.9567230669340296,3.058019813456738,2.0232967685285654
41.5,42.0,5.0,4.346708092011716,3.359426283776909,2.2227182159400045
41.5,42.0,6.0,4.9073115655608905,3.792698084862155,2.5093865465939493
41.5,42.0,7.0,4.809815309291468,3.717346467282112,2.4595311847410892
41.5,42.0,8.0,4.6635709248873365,3.6043190409120482,2.3847481419617993
41.5,42.0,9.0,3.6723589861482155,2.8382442621816124,1.8778852964577235
41.5,42.0,10.0,2.551152039049867,1.9717006600111204,1.3045486351498345
41.5,42.0,11.0,1.7549326128495901,1.356329116440771,0.8973965133514786
41.5,42.0,12.0,1.3649475877719033,1.0549226461205994,0.6979750659400388
41.5,42.25,1.0,1.7914713291158701,1.5113715905501064,0.8548877884324947
41.5,42.25,2.0,2.6826134774453028,2.2631820740545185,1.2801396626784023
41.5,42.25,3.0,3.4267631064626642,2.8909825808984086,1.6352468978734385
41.5,42.25,4.0,4.474084806561174,3.774553664604625,2.135027451110897
41.5,42.25,5.0,4.915062364497387,4.14658359458619,2.345461368263511
41.5,42.25,6.0,5.548967604030695,4.681376618934689,2.647960124170394
41.5,42.25,7.0,5.438723214546641,4.588369136439297,2.59535164488224
41.5,42.25,8.0,5.273356630320562,4.4488579126962104,2.51643892595001
41.5,42.25,9.0,4.152538670566017,3.5032818406597337,1.9815860531871157
41.5,42.25,10.0,2.884728191499401,2.4336957919627356,1.3765885413733505
41.5,42.25,11.0,1.984399010712964,1.674134684917041,0.9469526271867634
41.5,42.25,12.0,1.5434214527767496,1.3021047549354763,0.7365187100341493
41.5,42.5,1.0,1.789526217001632,1.4987281878987453,0.8612094897581752
41.5,42.5,2.0,2.6797007967409057,2.244249389058634,1.2896060051763445
41.5,42.5,3.0,3.423042456110814,2.8667980209550357,1.647339177845125
41.5,42.5,4.0,4.469227013742538,3.74297757695738,2.15081549493452
41.5,42.5,5.0,4.9097257748506316,4.11189528474784,2.362805523182686
41.5,42.5,6.0,5.542942743943517,4.642214489696626,2.667541188789425
41.5,42.5,7.0,5.432818053666493,4.549985062749011,2.6145436817273833
41.5,42.5,8.0,5.267631018250958,4.411640922327589,2.5350474211343212
41.5,42.5,9.0,4.148030000434552,3.4739750816935016,1.9962394326702317
41.5,42.5,10.0,2.881596062248782,2.4133366717959284,1.386768101456754
41.5,42.5,11.0,1.9822444249864235,1.660129685057072,0.9539551271167481
41.5,42.5,12.0,1.5417456638783291,1.2912119772666113,0.7419650988685818
41.5,43.0,1.0,1.7446198867539229,1.352920137363831,0.8505762725996336
41.5,43.0,2.0,2.676794238009695,2.0758039362494074,1.3050508496259086
41.5,43.0,3.0,3.1215012679665777,2.420665932048031,1.521864409308168
41.5,43.0,4.0,4.173404434979972,3.2363971913409286,2.0347118677873586
41.5,43.0,5.0,4.635215581473657,3.594523110054884,2.2598644105343206
41.5,43.0,6.0,5.370692592556194,4.164871795414147,2.6184406823165194
41.5,43.0,7.0,5.447661116971808,4.22455944853314,2.65596610610768
41.5,43.0,8.0,5.191099368919761,4.025600604803164,2.530881360137145
41.5,43.0,9.0,3.9596029782699325,3.070598154899283,1.93047457947858
41.5,43.0,10.0,2.745210704156908,2.128859627910734,1.3384067818847176
41.5,43.0,11.0,1.8729007607799464,1.4523995592288186,0.9131186455849007
41.5,43.0,12.0,1.4452978473598674,1.1208014863455267,0.7046440689673436
41.5,43.25,1.0,2.005423700549701,1.8547700323146425,0.8658886302181364
41.5,43.25,2.0,3.0769491091767467,2.8457991182082503,1.3285448100895916
41.5,43.25,3.0,3.5881355426501997,3.3185836362492376,1.5492615197530382
41.5,43.25,4.0,4.797288067981636,4.436900861615419,2.071341429149267
41.5,43.25,5.0,5.328135518127145,4.927869399581059,2.3005472430305387
41.5,43.25,6.0,6.173559235025549,5.709782256341154,2.665578724397008
41.5,43.25,7.0,6.262033810049801,5.791610346002094,2.70377969337722
41.5,43.25,8.0,5.967118559968962,5.518850047132293,2.576443130109847
41.5,43.25,9.0,4.551525359580938,4.209600612557252,1.9652276264264565
41.5,43.25,10.0,3.1555931758649702,2.9185351979068637,1.3625012269608912
41.5,43.25,11.0,2.1528813255901196,1.9911501817495425,0.9295569118518229
41.5,43.25,12.0,1.6613559087887226,1.5365496836332087,0.7173293064062012
41.5,43.5,1.0,1.9930749851623981,1.8666247190055203,0.8530460039004865
41.5,43.5,2.0,3.058002305665836,2.86398792670945,1.3088401922590795
41.5,43.5,3.0,3.566041027373898,3.3397942276324257,1.526283291292537
41.5,43.5,4.0,4.767748003721814,4.465259131738694,2.04061985246783
41.5,43.5,5.0,5.295326676264802,4.959365675004862,2.266426147617959
41.5,43.5,6.0,6.135544562166598,5.7462760957620915,2.626043580634831
41.5,43.5,7.0,6.2234743409237625,5.828627186306453,2.663677963159852
41.5,43.5,8.0,5.93037507839988,5.554123551158582,2.5382300214097806
41.5,43.5,9.0,4.523498618285246,4.236506102448803,1.9360799010094372
41.5,43.5,10.0,3.1361621090055376,2.9371888960822155,1.3422929767257654
41.5,43.5,11.0,2.1396246164243387,2.003876536579455,0.9157699747755221
41.5,43.5,12.0,1.6511258455512021,1.546370477999671,0.7066900718587362
41.5,43.75,1.0,1.9950508644159426,1.9417045976578757,0.8476125714853948
41.5,43.75,2.0,3.0610339243244606,2.9791840150338977,1.3005036023280812
41.5,43.75,3.0,3.5695763015285245,3.474128324240807,1.5165617087851426
41.5,43.75,4.0,4.772474616838136,4.644861978710996,2.0276222298278066
41.5,43.75,5.0,5.300576316242356,5.158842607502787,2.251990263456294
41.5,43.75,6.0,6.141627170849078,5.9774043496526765,2.609317131827588
41.5,43.75,7.0,6.229644120749781,6.063067787784641,2.6467118040990023
41.5,43.75,8.0,5.9362542877474365,5.7775229940114246,2.5220628965276206
41.5,43.75,9.0,4.527983089336183,4.406907983899982,1.923748140184989
41.5,43.75,10.0,3.139271213125086,3.055329293373422,1.3337433110137829
41.5,43.75,11.0,2.1417457809171143,2.084476994544484,0.9099370252710854
41.5,43.75,12.0,1.6527627259132072,1.6085690049224557,0.7021888459854495
41.5,44.0,1.0,1.7246956008169656,1.5415038794202875,0.8356624210582059
41.5,44.0,2.0,2.4402607969006005,2.1810639996053007,1.1823734255398022
41.5,44.0,3.0,3.1099564291327204,2.7796266761887107,1.5068593656315523
41.5,44.0,4.0,4.219999874339384,3.771764811347512,2.044705923865823
41.5,44.0,5.0,4.9080433321121095,4.386726465371563,2.3780818897135116
41.5,44.0,6.0,5.687825917587865,5.083683006598822,2.755907984340892
41.5,44.0,7.0,5.568565051573926,4.9770896532346525,2.6981228169272926
41.5,44.0,8.0,5.210782453532109,4.657309593142146,2.5247673146864944
41.5,44.0,9.0,3.853043363527264,3.4437852625346856,1.866905408747056
41.5,44.0,10.0,2.7796955694018113,2.4844450822571655,1.3468389020246616
41.5,44.0,11.0,1.98156515838545,1.771089563589267,0.9601227816413432
41.5,44.0,12.0,1.4861738687890875,1.3283171726919503,0.7200920862310073
41.5,44.25,1.0,1.7020971683590003,1.3962966962848475,0.8092173761723901
41.5,44.25,2.0,2.408286419061139,1.9756112830413273,1.14495650032902
41.5,44.25,3.0,3.069207128051602,2.517790319364699,1.459173885757661
41.5,44.25,4.0,4.164705837474149,3.4164706398459037,1.979999962974997
41.5,44.25,5.0,4.843733963149282,3.973503896342519,2.3028260438948336
41.5,44.25,6.0,5.613299172247767,4.604808253705349,2.668695602270648
41.5,44.25,7.0,5.49560096379741,4.508255822579269,2.6127390815778764
41.5,44.25,8.0,5.142506338446341,4.218598529201029,2.4448695194995613
41.5,44.25,9.0,3.8025575037807458,3.119386236381043,1.8078260531510844
41.5,44.25,10.0,2.7432736277275374,2.2504143562463237,1.3042173669161392
